PlayerPos,Car1Pos,Car2Pos,Car3Pos,Car4Pos,Car5Pos,Action
2,1,2,1,1,1,x
2,1,3,1,1,1,x
2,1,4,1,2,1,x
2,1,5,1,3,2,x
2,1,0,1,4,3,x
2,1,0,1,4,3,A
1,3,0,1,0,5,x
1,4,0,1,0,0,x
1,5,0,1,0,0,B
2,0,0,2,0,0,x
2,0,0,3,0,0,x
2,0,0,4,0,0,x
3,0,0,5,0,0,x
3,0,1,0,1,0,x
3,0,2,0,2,0,x
3,0,3,0,3,0,x
3,0,3,0,3,0,B
4,0,5,1,5,2,x
4,1,0,2,0,3,x
4,2,0,3,1,4,A
3,3,0,4,2,5,x
3,4,0,5,3,0,x
3,4,0,0,3,0,B
4,0,0,0,5,1,x
4,0,0,0,0,2,x
4,1,1,0,0,3,x
4,1,1,0,0,3,A
3,3,3,0,0,5,x
3,4,4,0,0,0,x
3,5,5,0,0,0,x
3,0,0,0,0,0,x
3,0,0,1,1,0,x
3,0,0,2,2,1,x
3,0,0,3,2,2,A
2,0,0,4,3,3,A
1,1,2,5,5,4,x
1,2,3,0,0,5,x
1,3,4,0,0,1,x
2,4,5,0,0,2,x
2,5,0,0,0,3,x
2,0,1,0,1,4,x
2,0,2,0,2,5,x
2,1,3,0,3,0,x
2,2,4,0,4,0,x
2,3,5,1,5,0,x
2,4,0,2,1,0,x
2,5,0,3,2,0,A
1,0,0,4,3,0,x
1,0,0,5,4,1,x
1,0,0,0,5,2,x
1,0,0,0,0,3,x
1,0,1,0,0,4,x
1,0,2,0,0,5,x
1,0,3,0,0,0,x
